p (50, 50)
f rouge 1 (280,480)
f rose 1 (280,480)
f bleu 1 (280,480)
f orange 1 (280,480)

50,50 150,50
150,50 150,180
150,180 360,180
360,100 360,220
360,220 320,220
320,220 320,350
320,350 360,350
360,350 360,260
240,260 320,260
360,100 450,100
450,100 450,50
450,50 320,50
320,50 320,140
320,140 190,140
190,140 190,50
190,50 240,50
240,50 240,100
240,100 280,100
280,100 280,50

50,50 50,140
50,140 30,140
50,100  110,100
110,100 110,180
110,180 50,180
50,180 50,300
50,300 110,300
110,220 110,350
50,350 150,350
150,350 150,220
50,350 50,400
50,400 190,400
190,400 190,350
190,350 240,350
240,350 240,480
240,480 190,480
190,480 190,530
190,530 280,530
280,530 280,600
280,600 400,600
400,600 400,570
400,570 320,570
320,570 320,440
320,440 280,440
280,440 280,480

280,570 240,570
240,570 240,600
240,600 190,600
190,600 190,570
190,570 150,570
150,570 150,600
150,600 50,600
50,600 50,440
50,440 110,440
110,440 110,570
110,480 150,480
150,530 150,440
150,440 200,440

Map 6, Labyrinthe!
flash 2000 200 250,450 50 
0,0,255,255


