p (100, 100)
f rose 1 (600, 600)
f rouge 1 (600, 600)
f bleu 1 (600, 600)
f bleu 1 (600, 50)
f orange 1 (600, 600)


50,50 600,50
50,50 50,600
50,100 250,100
100,100 100,120
100,120 230,120
210,100 210,120
150,120 150,370
100,370 150,370
100,370 100,390
50,390 170,390
170,390 170,120
150,250 170,250
50,600 600,600
600,50 600,600
230,100 230,390
230,390 420,390
250,100 250,370
250,370 290,370
290,370 290,100
290,100 340,100
320,100 320,390
340,100 340,390
400,390 400,160
400,160 420,160
410,160 410,100
420,390 420,160
400,100 420,100
420,250 560,250
470,390 470,100
470,100 600,100
470,390 600,390


Map 3, préparez vous!
flash 2000 200 250,450 50 donne nous 100%
0,0,255,255


